topic_id,category_id,max_score
100020,7,107678.6
10005,7,64.4
100069,7,13764.0
100073,7,219.4
100094,19,72.4
10011,7,659.6
100163,7,993.0
100178,7,143.4
100223,7,192.6
100224,21,105.2
100256,19,3947.8
100287,19,13461.6
1002,7,4951.8
100308,7,4130.4
100326,7,457.2
100437,19,15887.2
100441,21,78.6
100521,19,2819.2
100603,8,1382.8
100626,19,12800.8
100718,7,310.8
10072,7,8083.2
100750,19,72.0
100773,19,376.6
10080,21,142.0
10084,8,296.8
100876,19,69611.0
100880,8,707.8
100907,19,26.8
100908,7,13211.6
10091,8,30.0
10093,21,135.0
10096,21,1402.8
1009,21,87.4
10101,21,207.6
101039,21,13012.6
101041,7,3200.6
10104,7,2965.8
101113,7,26.6
101132,7,3510.6
101145,19,42.6
101151,21,1123.6
101184,19,27.0
101199,19,245.6
101207,19,62230.0
10120,8,126.2
101224,21,1015.2
10122,8,181.4
101232,7,1117.0
101265,19,16.6
101275,19,518.4
101301,7,3877.2
101339,7,881.4
10135,8,2277.2
101390,19,189.2
101459,7,3011.8
101472,21,418.8
101480,7,24305.2
101483,19,481.0
101607,7,237.0
101668,21,743.4
10170,8,504.8
101713,19,35201.0
101724,19,2510.8
10172,7,945.8
101746,7,41286.0
101776,19,13922.6
101878,7,93.8
10189,8,88.0
101921,19,1116.4
101926,7,183.8
10195,7,616.8
101966,8,184.0
101984,7,1454.0
1019,8,92.6
102002,19,90.8
10207,7,1431.2
102081,7,2132.0
102122,7,746.0
102127,19,166.2
10214,8,525.4
102155,8,3473.0
102157,19,29641.2
10216,8,247.8
102178,7,33629.8
102192,21,875.2
102209,19,417.6
102219,21,2097.6
102226,7,21491.6
102248,19,26.0
102256,7,2266.2
102298,19,86.4
102300,7,9097.4
102386,19,9873.0
102395,19,49527.2
102425,7,474.4
102440,7,9890.4
102444,19,60.8
102461,19,471003.4
10250,7,74.0
102518,7,19475.0
10254,7,161.4
102551,7,217.6
10255,8,429.8
102605,8,5687.4
102622,7,62.6
102633,19,759.4
102648,21,68.2
102696,19,905.2
102697,7,384.8
10269,8,3585.4
102715,21,1409.2
102722,19,159.4
102759,7,4074.0
102764,8,668.6
1027,21,3382.4
102829,19,299.2
