topic_id,category_id,post_count,avg_score
100020,7,5,21762.800000000003
10005,7,2,36.5
100069,7,1,13764.0
100073,7,3,79.6
100094,19,1,72.4
10011,7,6,119.40000000000002
100163,7,1,993.0
100178,7,1,143.4
100223,7,1,192.6
100224,21,2,54.6
100256,19,9,463.62222222222215
100287,19,6,2296.9666666666667
1002,7,6,853.5666666666666
100308,7,6,740.5
100326,7,3,157.06666666666666
100437,19,20,873.5
100441,21,1,78.6
100521,19,13,247.56923076923078
100603,8,1,1382.8
100626,19,14,953.9142857142857
100718,7,5,71.80000000000001
10072,7,3,2712.733333333333
100750,19,1,72.0
100773,19,1,376.6
10080,21,5,31.080000000000002
10084,8,5,108.24000000000001
100876,19,27,2804.081481481482
100880,8,3,263.99999999999994
100907,19,1,26.8
100908,7,10,1453.7
10091,8,2,17.2
10093,21,1,135.0
10096,21,3,478.93333333333334
1009,21,2,43.800000000000004
10101,21,6,53.300000000000004
101039,21,6,2279.1666666666665
101041,7,3,1111.3333333333333
10104,7,7,465.8571428571428
101113,7,1,26.6
101132,7,6,639.0333333333334
101145,19,2,21.400000000000002
101151,21,2,562.1999999999999
101184,19,1,27.0
101199,19,1,245.6
101207,19,8,7991.875
10120,8,9,29.555555555555557
101224,21,5,224.36000000000004
10122,8,5,60.519999999999996
101232,7,9,169.19999999999996
101265,19,2,8.600000000000001
101275,19,5,129.52
101301,7,3,1376.6666666666667
101339,7,1,881.4
10135,8,4,632.4999999999999
101390,19,1,189.2
101459,7,2,1508.1000000000001
101472,21,1,418.8
101480,7,47,626.055319148936
101483,19,1,481.0
101607,7,2,121.8
101668,21,5,165.2
10170,8,1,504.8
101713,19,7,5264.371428571429
101724,19,25,115.66400000000002
10172,7,5,204.76
101746,7,4,10555.15
101776,19,12,1212.6000000000001
101878,7,1,93.8
10189,8,1,88.0
101921,19,5,246.72000000000003
101926,7,4,55.50000000000001
10195,7,9,111.0888888888889
101966,8,1,184.0
101984,7,5,304.96
1019,8,3,49.93333333333333
102002,19,1,90.8
10207,7,4,376.95000000000005
102081,7,6,375.3333333333333
102122,7,4,200.40000000000003
102127,19,1,166.2
10214,8,7,102.34285714285714
102155,8,7,536.9714285714285
102157,19,44,731.6954545454546
10216,8,2,142.5
102178,7,3,11367.133333333337
102192,21,2,438.3
