user_id,trust_level,count
75361,2,11
192645,1,3
4078,4,4026
40833,4,5093
6286,0,1
6184,2,140
82642,0,1
80162,1,3
13767,2,108
305168,4,1081
82682,0,1
644,2,19
5597,2,13
8967,1,1
33581,1,1
76610,2,23
82794,1,1
82804,0,1
11849,2,11
82829,0,1
83324,0,1
83400,0,1
85245,1,1
83268,1,1
85950,0,2
89642,0,1
93938,0,1
94208,1,2
82853,0,1
243967,0,1
247604,0,1
538937,0,1
713680,0,1
715201,0,1
878,0,3
10,4,177
-1,4,235
34613,2,57
55593,3,1931
207885,1,4
125365,1,11
237321,2,13
550020,0,1
82878,0,1
75702,2,154
1079,4,4145
81197,1,2
13835,4,1950
73294,2,31
83221,0,1
25203,2,1364
21554,1,13
83064,1,7
83137,0,2
18778,1,21
9320,4,1375
83187,0,1
110431,0,1
116297,0,2
83147,0,1
83152,1,2
83529,0,1
12145,1,2
2447,2,15
81091,1,10
109544,0,1
123517,0,1
124018,0,1
129420,0,1
254478,0,1
291630,0,1
73260,2,16
729063,0,1
83249,0,1
83558,0,1
275542,2,16
6960,0,1
15677,0,1
15718,0,1
83250,0,1
73773,1,12
3690,2,84
519732,2,31
76729,4,2880
5765,2,80
6775,2,53
83406,1,1
17527,2,309
80748,2,10
149756,0,1
164711,0,2
4298,2,94
175044,1,1
156362,1,9
151061,2,728
380123,0,1
86188,1,1
85964,1,1
83436,0,1
83260,0,4
495558,1,1
545333,1,4
609476,1,4
110,2,135
6628,2,25
6653,1,1
6927,1,2
12395,0,1
4438,2,44
7049,1,1
5780,0,3
24428,2,228
87242,2,11
83461,0,2
10496,2,17
6690,1,4
2000,2,20
12235,0,3
23077,0,2
82324,1,2
83556,0,3
83655,0,1
34968,2,10
83688,0,1
83691,0,1
83704,0,1
83949,1,3
84409,0,1
105891,0,1
101512,1,4
219610,0,3
658909,1,3
1331,1,11
3063,1,5
9334,0,2
14702,2,15
64303,1,8
152043,2,21
177685,2,19
12586,2,54
213683,1,6
222821,0,1
231797,0,1
83763,1,1
83768,1,7
83804,0,1
82978,1,3
86537,0,1
72252,0,1
799,2,65
14111,2,27
83831,0,4
6991,0,2
233,2,1028
83876,0,1
776,2,125
3388,1,2
83957,0,1
23086,1,10
85131,1,1
85147,0,1
78856,1,6
85143,0,3
85148,0,2
85155,0,3
4203,1,1
85164,1,6
19904,1,2
4044,0,1
87353,0,2
87369,0,2
89128,0,2
103453,0,1
105363,1,29
127857,1,1
130020,1,19
83998,0,2
156700,1,1
157946,1,2
71780,2,24
158446,0,1
165324,0,4
167977,0,2
69482,1,9
84066,0,1
84068,1,3
6623,0,2
71784,1,4
84188,1,2
173902,0,1
84163,1,2
84304,1,4
84311,0,1
84393,0,2
84665,1,1
84819,0,2
84931,1,1
85047,0,1
85060,0,1
85071,0,1
85078,0,1
74941,2,18
86163,1,8
89539,0,1
89636,0,1
90287,0,2
90710,0,2
91160,0,1
6136,1,4
6892,1,5
6572,2,15
6226,1,1
71101,1,7
241234,1,1
84207,0,4
173485,0,1
50478,1,14
2348,1,1
84331,0,3
520904,0,1
679344,0,1
84337,0,2
7009,1,6
472855,0,2
280272,2,20
81515,1,1
84323,0,2
381,1,3
15,3,61
43427,0,2
166,2,156
67835,1,3
217456,1,8
85082,1,1
85093,0,1
82477,1,1
5216,1,3
666,4,160
66311,1,15
16027,2,485
84541,1,3
84842,1,1
85161,0,2
85364,0,1
85392,1,1
85814,0,1
85913,0,1
85914,1,2
85978,1,3
86217,0,1
86516,0,1
86645,1,2
87141,0,4
88958,0,2
89915,0,1
90662,0,1
91208,0,2
92983,0,2
93040,0,1
93090,0,1
93549,0,1
93553,0,1
97520,1,2
97808,0,2
97939,0,3
98396,0,2
99174,0,2
100598,0,2
104615,0,1
95386,2,20
7260,1,6
84554,0,3
172672,0,1
80145,1,16
84587,1,1
85777,0,1
88348,1,1
84577,1,15
84608,1,2
25470,2,25
84617,0,1
84622,0,1
84652,2,8
84658,0,1
88616,1,1
88798,0,1
92423,0,1
23132,1,5
103039,0,2
121228,0,1
125529,0,1
136789,0,1
39891,1,1
97187,1,2
165815,1,1
84742,1,3
73485,1,5
86367,0,1
86400,0,1
88521,0,1
97611,0,1
217843,0,1
220493,1,2
259221,0,1
509650,0,1
84729,0,2
19701,1,2
84824,0,1
84994,0,1
85137,0,4
84495,2,6
100240,0,1
169201,0,1
195072,0,1
84780,0,1
69580,1,5
84167,0,1
25249,1,3
86306,0,1
87041,0,1
89238,0,1
91807,0,1
51664,1,11
93091,0,1
111338,1,3
94207,1,11
10399,2,172
86046,0,1
230972,0,1
224740,0,1
254133,0,1
277004,0,1
318926,0,1
330756,0,1
228799,3,7567
320127,1,2
355404,0,1
227978,2,8
373399,0,1
376376,0,1
417853,2,14
6391,1,30
527,1,7
6675,1,1
13511,1,2
76730,1,9
248059,0,2
383292,0,1
72385,4,1430
1982,2,24
69483,1,8
981,2,68
322,2,217
84934,0,1
84959,0,2
96883,0,1
84969,0,1
36640,2,40
165109,0,3
85014,0,1
57378,2,27
841,1,3
495,2,4
22381,2,29
85118,1,1
267975,0,4
85072,1,2
899,1,2
29,4,17
7057,2,10
4816,2,87
85142,0,1
7075,0,2
4326,2,94
20229,1,4
258878,2,7
85158,1,1
85181,1,2
85180,0,1
85275,0,4
86854,0,1
86924,0,1
92686,0,2
150589,0,1
258806,1,5
267772,0,1
284859,1,2
25131,1,2
353276,1,1
354186,0,1
355162,0,1
358422,0,2
361568,1,2
381824,1,1
168469,2,10
78611,2,748
98287,4,1276
402625,1,3
402739,1,2
132911,2,627
413199,1,2
456893,1,1
377224,1,2
85162,0,2
15056,2,39
11458,2,7
85259,1,1
655,2,5
85209,0,3
20265,2,51
85339,1,7
86051,1,2
144242,0,1
10529,1,3
84837,1,2
103487,0,1
121168,0,1
91664,2,17
186262,0,1
230827,1,3
232844,1,2
233163,1,4
15876,2,35
85187,1,6
85176,1,5
13917,1,4
83806,1,1
85415,0,1
86048,1,1
84464,0,1
86344,0,1
86489,0,1
87820,0,2
89679,0,1
89847,1,1
90280,0,1
90545,0,1
90724,1,3
90558,1,4
91604,0,1
92237,0,1
92290,0,2
92335,0,1
92178,1,6
93213,0,1
82468,1,3
105027,0,1
110713,0,1
91187,1,2
110867,0,1
111465,0,1
115925,0,1
122814,0,1
123085,0,1
131060,0,1
136133,0,1
140029,0,1
142151,0,1
142219,0,1
144710,0,1
147506,0,1
150438,0,1
109051,1,1
93539,0,3
159382,0,2
160728,0,1
161825,1,2
163910,1,1
196180,1,1
248719,0,1
242853,1,3
312792,0,1
325691,0,1
392740,0,1
395656,0,1
85213,0,1
21874,2,12
111691,0,3
85246,0,1
85244,0,1
85252,1,1
6584,2,60
85472,0,1
85375,0,1
13591,1,5
85286,1,4
87884,1,8
66252,1,3
85292,1,1
73333,1,3
314057,0,1
85315,0,1
85731,1,2
86519,0,2
86538,0,1
86542,0,1
86550,0,1
86547,2,14
85343,0,1
85354,0,1
85351,1,13
15902,1,3
93328,1,1
110669,1,1
101697,1,6
166549,1,7
29620,2,805
38748,2,68
249584,1,5
304553,1,1
85357,0,1
85243,0,1
85360,1,3
179241,1,1
223572,1,1
198,2,56
61486,1,7
198098,1,2
85390,1,1
85395,1,5
85435,2,6
85752,0,1
94243,0,1
132967,0,2
754220,0,1
85444,0,1
85377,1,5
59819,2,197
85447,1,1
93110,1,6
96552,0,1
97385,1,2
29710,1,7
85859,0,1
157485,0,3
157995,0,1
195867,1,1
202499,2,39
225122,0,1
227671,0,1
232855,2,6
190771,0,1
242903,0,1
195695,2,41
244918,0,1
249723,0,1
253587,0,1
256016,0,2
260286,0,1
261416,0,1
261581,0,1
29342,1,2
261975,0,1
252264,1,2
271930,0,1
275141,0,1
293933,0,1
303205,0,1
304259,0,1
405315,0,1
20122,0,2
457026,0,1
474584,0,1
252867,1,1
479931,0,1
491087,0,1
526324,0,1
530600,0,2
56920,2,37
18408,2,109
85493,0,1
85510,1,2
109495,0,2
154486,0,1
174710,0,1
395204,0,1
334973,1,1
147372,0,2
85517,0,1
85549,1,3
523,1,1
85605,0,1
85717,0,3
60116,1,4
86137,0,1
86687,0,1
49556,2,16
85994,1,1
89015,0,2
34093,2,6
24974,1,5
103033,0,1
103072,0,1
106241,0,1
86785,1,1
5821,1,11
85548,0,1
5520,1,1
59929,1,7
62161,1,14
85680,0,1
85681,0,1
85716,0,2
150367,0,1
152855,0,1
154062,0,1
156505,0,1
